ID,Date,Band,Genus,Species,Sex,Age,Time,Site,Mass,Wing_length,Tail_length,Fat_code,Condition
3D6.1D59AEEB94,6/8/21,A00003180,Archilochus,BCHU,F,AHY,9:05:00,SB,3.27,46,NA,0,14.06727829
3D6.1D59AEEBA9,6/8/21,A00003181,Archilochus,BCHU,F,AHY,8:48:00,SB,3.62,46,NA,0,12.70718232
3D6.1D59AEEB7F,6/8/21,NA,Archilochus,BCHU,F,AHY,8:43:00,SB,3.14,46,NA,-,14.64968153
3D6.1D59AEEB69,6/8/21,A00003182,Archilochus,BCHU,F,AHY,8:38:00,SB,3.15,47,NA,0,14.92063492
3D6.1D59AEEB53,5/28/21,NA,Archilochus,BCHU,M,AHY,11:55:00,SB,2.74,43,NA,0,15.69343066
3D6.1D593E1CDE,5/28/21,NA,Archilochus,BCHU,F,AHY,11:55:00,SB,3.59,46,NA,0,12.81337047
3D6.1D59AEEBAC,5/28/21,A00003165,Selasphorus,RUHU,F,AHY,11:40:00,SB,NA,46,NA,2,NA
3D6.1D59AEEBAF,5/28/21,NA,Archilochus,BCHU,F,AHY,11:40:00,SB,3.28,47,NA,0,14.32926829
3D6.1D59AEEB52,5/28/21,A00003158,Archilochus,BCHU,F,AHY,11:20:00,SB,3.63,44,NA,0,12.12121212
3D6.1D59AEEB6D,5/28/21,A00003157,Archilochus,BCHU,F,AHY,11:15:00,SB,3,46,NA,0,15.33333333
3D6.1D59AEEB4A,5/28/21,NA,Archilochus,BCHU,M,AHY,11:13:00,SB,2.79,43,NA,0,15.41218638
3D6.1D59AEEB8E,5/28/21,610089785,Archilochus,BCHU,M,AHY,10:58:00,SB,2.91,46,NA,0,15.80756014
3D6.1D59AEEB91,5/28/21,NA,Archilochus,BCHU,F,AHY,10:35:00,SB,3.95,47,NA,0,11.89873418
3D6.1D593E1AED,5/28/21,NA,Archilochus,BCHU,F,AHY,10:30:00,SB,3.68,46,NA,NA,12.5
3D6.1D59AEEB56,5/28/21,A00003161,Archilochus,BCHU,F,AHY,10:15:00,SB,3.82,46,NA,0,12.04188482
3D6.1D593E1B10,5/28/21,NA,Archilochus,BCHU,F,AHY,10:15:00,SB,4.09,46,NA,0,11.24694377
3D6.1D593E1BA6,5/28/21,NA,Archilochus,BCHU,F,AHY,10:15:00,SB,3.5,46,NA,0,13.14285714
3D6.1D59AEEB54,5/28/21,A00003162,Archilochus,BCHU,F,AHY,9:45:00,SB,NA,46,NA,0,NA
3D6.1D593E1A57,5/28/21,A00003159,Archilochus,BCHU,F,AHY,9:45:00,SB,3.59,46,NA,-,12.81337047
3D6.1D59AEEB65,5/28/21,A00003163,Archilochus,BCHU,F,AHY,9:40:00,SB,3.46,47,NA,-,13.58381503
3D6.1D59AEEB86,5/28/21,A00003155,Archilochus,BCHU,M,AHY,9:35:00,SB,3,43,NA,0,14.33333333
3D6.1D59AEEB87,5/28/21,A00003164,Archilochus,BCHU,F,AHY,9:20:00,SB,3.46,46,NA,0,13.29479769
3D6.1D59AEEB6C,5/28/21,A00003156,Archilochus,BCHU,M,AHY,9:08:00,SB,2.8,42,NA,0,15
3D6.1D593E1D22,5/17/21,NA,Archilochus,BCHU,F,AHY,12:37:00,SB,3.38,0,NA,-,0
3D6.1D59AEEB6A,5/17/21,910070752,Archilochus,BCHU,F,AHY,12:20:00,SB,3.85,47,NA,0,12.20779221
3D6.1D593E1D18,5/17/21,NA,Archilochus,BCHU,F,AHY,12:20:00,SB,3.37,46,NA,0,13.64985163
3D6.1D593E1AFD,5/17/21,NA,Archilochus,BCHU,F,AHY,12:17:00,SB,3.43,46,NA,0,13.41107872
3D6.1D593E1AE6,5/17/21,NA,Archilochus,BCHU,M,AHY,12:10:00,SB,2.86,42,NA,0,14.68531469
3D6.1D59AEEB29,5/17/21,NA,Archilochus,BCHU,F,AHY,12:05:00,SB,3.5,0,NA,-,0
3D6.1D59AEEB63,5/17/21,A00003138,Archilochus,BCHU,F,AHY,12:00:00,SB,2.82,43,NA,0,15.24822695
3D6.1D59AEEB16,5/17/21,NA,Archilochus,BCHU,M,AHY,11:55:00,SB,2.72,0,NA,-,0
3D6.1D59AEEBAF,5/17/21,A00003139,Archilochus,BCHU,F,AHY,11:45:00,SB,3.32,46,NA,0,13.85542169
3D6.1D59AEEB9E,5/17/21,NA,Archilochus,BCHU,F,AHY,11:40:00,SB,3.27,0,NA,0,0
3D6.1D59AEEB5C,5/17/21,NA,Archilochus,BCHU,F,AHY,11:40:00,SB,3.52,0,NA,NA,0
3D6.1D59AEEB92,5/17/21,A00003151,Archilochus,BCHU,M,AHY,11:35:00,SB,3.13,42,NA,0,13.41853035
3D6.1D593E1B24,5/17/21,NA,Archilochus,BCHU,F,AHY,11:05:00,SB,3.76,46,NA,0,12.23404255
3D6.1D59AEEB96,5/17/21,A00003148,Archilochus,BCHU,F,AHY,10:35:00,SB,3.72,48,NA,0,12.90322581
3D6.1D59AEEB99,5/17/21,NA,Archilochus,BCHU,F,AHY,10:30:00,SB,3.68,0,NA,-,0
3D6.1D59AEEB6F,5/17/21,A00003152,Archilochus,BCHU,M,AHY,10:20:00,SB,2.72,42,NA,0,15.44117647
3D6.1D59AEEB5D,5/17/21,A00003149,Archilochus,BCHU,F,AHY,10:20:00,SB,3.25,47,NA,0,14.46153846
3D6.1D59AEEB6E,5/17/21,A00003153,Archilochus,BCHU,M,AHY,10:12:00,SB,3,42,NA,0,14
3D6.1D59AEEB58,5/17/21,A00003150,Archilochus,BCHU,F,AHY,9:55:00,SB,3.53,45,NA,0,12.74787535
3D6.1D59AEEB9F,5/17/21,A00003147,Calypte,ANHU,M,HY,9:55:00,SB,4.21,50,NA,0,11.87648456
3D6.1D593E1B2F,5/17/21,NA,Archilochus,BCHU,F,AHY,9:53:00,SB,3.47,47,NA,0,13.54466859
3D6.1D593E1B7F,5/17/21,NA,Archilochus,BCHU,M,AHY,9:50:00,SB,2.79,44,NA,0,15.77060932
3D6.1D59AEEBA5,5/17/21,NA,Archilochus,BCHU,M,AHY,9:40:00,SB,2.89,0,NA,0,0
3D6.1D593E1B3A,5/17/21,NA,Calypte,ANHU,F,AHY,9:38:00,SB,4.22,50,NA,1,11.84834123
3D6.1D59AEEB83,5/17/21,A00003140,Archilochus,BCHU,F,AHY,9:30:00,SB,NA,46,NA,0,NA
3D6.1D593E1AE2,5/17/21,NA,Calypte,ANHU,F,AHY,9:20:00,SB,4.34,52,NA,0,11.98156682
3D6.1D59AEEB74,5/17/21,A00003141,Archilochus,BCHU,F,AHY,9:05:00,SB,3.93,47,NA,0,11.95928753
3D6.1D59AEEB9D,5/17/21,610089898,Calypte,ANHU,M,AHY,9:05:00,SB,4.86,50,NA,0,10.28806584
3D6.1D593E1D15,5/17/21,NA,Archilochus,BCHU,F,AHY,9:05:00,SB,3.29,45,NA,0,13.67781155
3D6.1D59AEEB73,5/17/21,A00003142,Archilochus,BCHU,F,AHY,8:55:00,SB,3.19,46,NA,0,14.4200627
3D6.1D59AEEB3C,5/17/21,NA,Archilochus,BCHU,M,AHY,8:53:00,SB,2.77,43,NA,-,15.5234657
3D6.1D59AEEB8B,5/17/21,A00003143,Archilochus,BCHU,M,AHY,8:44:00,SB,2.85,45,NA,0,15.78947368
