Row,ID,Year,Month,Sex,FreqA1,FreqD1,FreqD2,PropA1,PropD1,PropD2
82,X3D6.1D593D7876,2020,5,M,213,0,0,1,0,0
155,X3D6.1D593D7876,2020,6,M,226,16,0,0.93388,0.06612,0
282,X3D6.1D593D7876,2020,7,M,214,45,0,0.82625,0.17375,0
475,X3D6.1D593D7876,2020,8,M,28,8,0,0.77778,0.22222,0
592,X3D6.1D593D7876,2020,9,M,0,1,0,0,1,0
691,X3D6.1D593D7876,2020,10,M,0,0,0,0,0,0
764,X3D6.1D593D7876,2020,11,M,0,2,0,0,1,0
99,X3D6.1D593D7877,2021,2,F,0,30,44,0,0.40541,0.59459
21,X3D6.1D593D7877,2020,1,F,4,0,0,1,0,0
48,X3D6.1D593D7877,2020,2,F,4,0,0,1,0,0
173,X3D6.1D593D7877,2020,6,F,1,44,0,0.02222,0.97778,0
382,X3D6.1D593D7877,2020,7,F,0,185,0,0,1,0
502,X3D6.1D593D7877,2020,8,F,14,36,4,0.25926,0.66667,0.07407
588,X3D6.1D593D7877,2020,9,F,0,10,181,0,0.05236,0.94764
662,X3D6.1D593D7877,2020,10,F,0,10,0,0,1,0
758,X3D6.1D593D7877,2020,11,F,0,23,0,0,1,0
21,X3D6.1D593D7877,2018,3,F,136,0,0,1,0,0
30,X3D6.1D593D7877,2018,11,F,8,0,0,1,0,0
22,X3D6.1D593D787D,2021,1,F,1,0,2,0.33333,0,0.66667
54,X3D6.1D593D787D,2021,2,F,4,12,556,0.00699,0.02098,0.97203
161,X3D6.1D593D787D,2021,3,F,56,20,266,0.16374,0.05848,0.77778
199,X3D6.1D593D787D,2021,4,F,419,98,921,0.29138,0.06815,0.64047
356,X3D6.1D593D787D,2021,5,F,302,112,179,0.50927,0.18887,0.30185
534,X3D6.1D593D787D,2021,6,F,30,9,24,0.47619,0.14286,0.38095
750,X3D6.1D593D787D,2021,7,F,0,19,21,0,0.475,0.525
880,X3D6.1D593D787D,2021,8,F,10,20,9,0.25641,0.51282,0.23077
1014,X3D6.1D593D787D,2021,9,F,14,2,17,0.42424,0.06061,0.51515
1115,X3D6.1D593D787D,2021,10,F,0,5,8,0,0.38462,0.61538
23,X3D6.1D593D787D,2020,1,F,6,0,0,1,0,0
50,X3D6.1D593D787D,2020,2,F,6,0,0,1,0,0
73,X3D6.1D593D787D,2020,3,F,1,0,0,1,0,0
77,X3D6.1D593D787D,2020,5,F,152,5,0,0.96815,0.03185,0
183,X3D6.1D593D787D,2020,6,F,55,27,0,0.67073,0.32927,0
399,X3D6.1D593D787D,2020,7,F,0,3,0,0,1,0
479,X3D6.1D593D787D,2020,8,F,5,0,0,1,0,0
627,X3D6.1D593D787D,2020,9,F,0,0,39,0,0,1
677,X3D6.1D593D787D,2020,10,F,0,0,0,0,0,0
40,X3D6.1D593D787D,2018,11,F,17,0,0,1,0,0
35,X3D6.1D593E1956,2018,11,M,29,0,0,1,0,0
34,X3D6.1D593E195F,2018,11,M,58,0,0,1,0,0
39,X3D6.1D593E1963,2018,11,F,10,0,0,1,0,0
1029,X3D6.1D593E1966,2021,9,F,125,139,8,0.45956,0.51103,0.02941
1075,X3D6.1D593E1966,2021,10,F,27,156,0,0.14754,0.85246,0
640,X3D6.1D593E1966,2020,9,F,0,0,1,0,0,1
671,X3D6.1D593E1966,2020,10,F,0,0,0,0,0,0
756,X3D6.1D593E1966,2020,11,F,0,53,0,0,1,0
28,X3D6.1D593E1966,2018,11,F,15,0,0,1,0,0
142,X3D6.1D593E1974,2020,5,F,0,8,0,0,1,0
222,X3D6.1D593E1974,2020,6,F,1,190,0,0.00524,0.99476,0
375,X3D6.1D593E1974,2020,7,F,0,637,0,0,1,0
529,X3D6.1D593E1974,2020,8,F,0,157,0,0,1,0
1055,X3D6.1D593E1980,2021,9,F,0,56,185,0,0.23237,0.76763
1105,X3D6.1D593E1980,2021,10,F,0,228,93,0,0.71028,0.28972
576,X3D6.1D593E1980,2020,9,F,0,4,98,0,0.03922,0.96078
681,X3D6.1D593E1980,2020,10,F,0,0,2,0,0,1
762,X3D6.1D593E1980,2020,11,F,0,2,0,0,1,0
654,X3D6.1D593E1990,2020,10,F,1,1,0,0.5,0.5,0
736,X3D6.1D593E1990,2020,11,F,1,77,0,0.01282,0.98718,0
38,X3D6.1D593E1990,2018,11,F,5,0,0,1,0,0
10,X3D6.1D593E1991,2021,1,M,14,24,3,0.34146,0.58537,0.07317
70,X3D6.1D593E1991,2021,2,M,396,771,1205,0.16695,0.32504,0.50801
122,X3D6.1D593E1991,2021,3,M,373,899,103,0.27127,0.65382,0.07491
206,X3D6.1D593E1991,2021,4,M,5,1208,1073,0.00219,0.52843,0.46938
366,X3D6.1D593E1991,2021,5,M,2,866,68,0.00214,0.92521,0.07265
591,X3D6.1D593E1991,2021,6,M,15,371,0,0.03886,0.96114,0
730,X3D6.1D593E1991,2021,7,M,0,638,202,0,0.75952,0.24048
894,X3D6.1D593E1991,2021,8,M,0,544,85,0,0.86486,0.13514
1021,X3D6.1D593E1991,2021,9,M,4,284,79,0.0109,0.77384,0.21526
1099,X3D6.1D593E1991,2021,10,M,0,510,0,0,1,0
22,X3D6.1D593E1991,2020,1,M,123,0,0,1,0,0
49,X3D6.1D593E1991,2020,2,M,123,0,0,1,0,0
57,X3D6.1D593E1991,2020,3,M,225,0,0,1,0,0
83,X3D6.1D593E1991,2020,5,M,954,2,0,0.99791,0.00209,0
158,X3D6.1D593E1991,2020,6,M,372,319,0,0.53835,0.46165,0
280,X3D6.1D593E1991,2020,7,M,148,673,0,0.18027,0.81973,0
458,X3D6.1D593E1991,2020,8,M,57,105,3,0.34545,0.63636,0.01818
581,X3D6.1D593E1991,2020,9,M,0,5,22,0,0.18519,0.81481
651,X3D6.1D593E1991,2020,10,M,1,22,3,0.03846,0.84615,0.11538
732,X3D6.1D593E1991,2020,11,M,2,143,1,0.0137,0.97945,0.00685
778,X3D6.1D593E1991,2020,12,M,7,1,0,0.875,0.125,0
33,X3D6.1D593E1991,2018,11,M,19,0,0,1,0,0
52,X3D6.1D593E1991,2018,12,M,3,0,0,1,0,0
37,X3D6.1D593E199B,2018,11,F,10,0,0,1,0,0
